Thomas S. Huang , Xiang Sean Zhou
Anthony K. H. Tung , Jiawei Han
Annaka Kalton , Pat Langley
Annaka Kalton , Kiri Wagstaff
Annaka Kalton , Jungsoon P. Yoo
Kiri Wagstaff , Pat Langley
Jungsoon P. Yoo , Pat Langley
Jungsoon P. Yoo , Kiri Wagstaff
Diane Lambert , Jos&eacute; C. Pinheiro
Aleksandar Lazarevic , Zoran Obradovic
Dekang Lin , Patrick Pantel
Dekang Lin , Patrick Pantel
Bing Liu , Wynne Hsu
Bing Liu , Yiming Ma
Wynne Hsu , Yiming Ma
Bing Liu , Wynne Hsu
Bing Liu , Yiming Ma
Wynne Hsu , Yiming Ma
Heikki Mannila , Marko Salmenkivi
Jonathan Moody , Ricardo Bezerra de Andrade e Silva
Jonathan Moody , Joseph Vanderwaart
Joseph Vanderwaart , Ricardo Bezerra de Andrade e Silva
Nikunj C. Oza , Stuart J. Russell
Hannu Toivonen , Petteri Sevon
Petteri Sevon , Vesa Ollikainen
Hannu Toivonen , Vesa Ollikainen
Chang-Tien Lu , Shashi Shekhar
Pusheng Zhang , Shashi Shekhar
Chang-Tien Lu , Pusheng Zhang
W. Nick Street , YongSeog Kim
Jun-ichi Takeuchi , Kenji Yamanishi
Jiong Yang , Wei Wang
Jiong Yang , Philip S. Yu
Philip S. Yu , Wei Wang
Ron Kohavi , Zijian Zheng
Llew Mason , Zijian Zheng
Llew Mason , Ron Kohavi
Chidanand Apt&eacute; , E. Bibelnieks
Chidanand Apt&eacute; , Ramesh Natarajan
Chidanand Apt&eacute; , Edwin P. D. Pednault
Chidanand Apt&eacute; , Fateh Tipu
Chidanand Apt&eacute; , Deb Campbell
Bryan Nelson , Chidanand Apt&eacute;
E. Bibelnieks , Ramesh Natarajan
E. Bibelnieks , Edwin P. D. Pednault
E. Bibelnieks , Fateh Tipu
Deb Campbell , E. Bibelnieks
Bryan Nelson , E. Bibelnieks
Edwin P. D. Pednault , Ramesh Natarajan
Fateh Tipu , Ramesh Natarajan
Deb Campbell , Ramesh Natarajan
Bryan Nelson , Ramesh Natarajan
Edwin P. D. Pednault , Fateh Tipu
Deb Campbell , Edwin P. D. Pednault
Bryan Nelson , Edwin P. D. Pednault
Deb Campbell , Fateh Tipu
Bryan Nelson , Fateh Tipu
Bryan Nelson , Deb Campbell
Jonathan D. Becher , Pavel Berkhin
Dee Jay Randall , Pavel Berkhin
Dee Jay Randall , Jonathan D. Becher
James Drew , Piew Datta
Andrew Betz , Piew Datta
D. R. Mani , Piew Datta
Jeffery Howard , Piew Datta
Andrew Betz , James Drew
D. R. Mani , James Drew
James Drew , Jeffery Howard
Andrew Betz , D. R. Mani
Andrew Betz , Jeffery Howard
D. R. Mani , Jeffery Howard
Edgar Hotz , Udo Grimmer
Edgar Hotz , W. Heuser
Edgar Hotz , Gholamreza Nakhaeizadeh
Edgar Hotz , M. Wieczorek
Udo Grimmer , W. Heuser
Gholamreza Nakhaeizadeh , Udo Grimmer
M. Wieczorek , Udo Grimmer
Gholamreza Nakhaeizadeh , W. Heuser
M. Wieczorek , W. Heuser
Gholamreza Nakhaeizadeh , M. Wieczorek
Christoph Hueglin , Francesco Vannotti
Hang Li , Kenji Yamanishi
Hank Hoek , Teresa Mah
Teresa Mah , Ying Li
Hank Hoek , Ying Li
Einat Neumann , Saharon Rosset
Saharon Rosset , Uri Eick
Nurit Vatnik , Saharon Rosset
Saharon Rosset , Yizhak Idan
Einat Neumann , Uri Eick
Einat Neumann , Nurit Vatnik
Einat Neumann , Yizhak Idan
Nurit Vatnik , Uri Eick
Uri Eick , Yizhak Idan
Nurit Vatnik , Yizhak Idan
Jeffrey T. Kreulen , W. Scott Spangler
Doug Warner , J. Neal Richter
Doug Warner , Stephen D. Durbin
Bikramjit Banerjee , Doug Warner
J. Neal Richter , Stephen D. Durbin
Bikramjit Banerjee , J. Neal Richter
Bikramjit Banerjee , Stephen D. Durbin
Henry Haining Zhang , Qiang Yang
Ian Tian Yi Li , Qiang Yang
Henry Haining Zhang , Ian Tian Yi Li
Hector Garcia-Molina , Yongqiang Huang
Balachander Krishnamurthy , Robert E. Gruber
Euthimios Panagos , Robert E. Gruber
Balachander Krishnamurthy , Euthimios Panagos
David B. Lomet , Roger S. Barga
Jae Young Lee , Ramez Elmasri
Michael H. B&ouml;hlen , Mikkel Agesen
Lasse Poulsen , Mikkel Agesen
Kristian Torp , Mikkel Agesen
Lasse Poulsen , Michael H. B&ouml;hlen
Kristian Torp , Michael H. B&ouml;hlen
Kristian Torp , Lasse Poulsen
Jennifer Widom , Jun Yang
Ramkumar Krishnan , Samuel DeFazio
Jagannathan Srinivasan , Samuel DeFazio
Samuel DeFazio , Saydean Zeldin
Jagannathan Srinivasan , Ramkumar Krishnan
Ramkumar Krishnan , Saydean Zeldin
Jagannathan Srinivasan , Saydean Zeldin
Fabio Casati , Umeshwar Dayal
Fabio Casati , Ming-Chien Shan
Ming-Chien Shan , Umeshwar Dayal
Amarnath Gupta , Bertram Lud&auml;scher
Bertram Lud&auml;scher , Maryann E. Martone
Amarnath Gupta , Maryann E. Martone
Fran&ccedil;oise Fabret , Luc Bouganim
Fabio Porto , Luc Bouganim
Luc Bouganim , Patrick Valduriez
Fabio Porto , Fran&ccedil;oise Fabret
Fran&ccedil;oise Fabret , Patrick Valduriez
Fabio Porto , Patrick Valduriez
Erich M&uuml;ller , Peter Dadam
Erich M&uuml;ller , Jost Enderle
Erich M&uuml;ller , M. Feltes
Jost Enderle , Peter Dadam
M. Feltes , Peter Dadam
Jost Enderle , M. Feltes
David Maier , Lois M. L. Delcambre
Lois M. L. Delcambre , Shawn Bowers
Lois M. L. Delcambre , Mathew Weaver
Lois M. L. Delcambre , Longxing Deng
Lois M. L. Delcambre , Paul N. Gorman
Joan S. Ash , Lois M. L. Delcambre
Lois M. L. Delcambre , Mary Lavelle
Jason A. Lyman , Lois M. L. Delcambre
David Maier , Shawn Bowers
David Maier , Mathew Weaver
David Maier , Longxing Deng
David Maier , Paul N. Gorman
David Maier , Joan S. Ash
David Maier , Mary Lavelle
David Maier , Jason A. Lyman
Mathew Weaver , Shawn Bowers
Longxing Deng , Shawn Bowers
Paul N. Gorman , Shawn Bowers
Joan S. Ash , Shawn Bowers
Mary Lavelle , Shawn Bowers
Jason A. Lyman , Shawn Bowers
Longxing Deng , Mathew Weaver
Mathew Weaver , Paul N. Gorman
Joan S. Ash , Mathew Weaver
Mary Lavelle , Mathew Weaver
Jason A. Lyman , Mathew Weaver
Longxing Deng , Paul N. Gorman
Joan S. Ash , Longxing Deng
Longxing Deng , Mary Lavelle
Jason A. Lyman , Longxing Deng
Joan S. Ash , Paul N. Gorman
Mary Lavelle , Paul N. Gorman
Jason A. Lyman , Paul N. Gorman
Joan S. Ash , Mary Lavelle
Jason A. Lyman , Joan S. Ash
Jason A. Lyman , Mary Lavelle
Klemens B&ouml;hm , Torsten Grabs
Hans-J&ouml;rg Schek , Torsten Grabs
Hans-J&ouml;rg Schek , Klemens B&ouml;hm
Richard T. Snodgrass , Wei Li
Shiyan Deng , Wei Li
Vineel Kumar Gattu , Wei Li
Aravindan Kasthurirangan , Wei Li
Richard T. Snodgrass , Shiyan Deng
Richard T. Snodgrass , Vineel Kumar Gattu
Aravindan Kasthurirangan , Richard T. Snodgrass
Shiyan Deng , Vineel Kumar Gattu
Aravindan Kasthurirangan , Shiyan Deng
Aravindan Kasthurirangan , Vineel Kumar Gattu
Alon Y. Halevy , Denise Draper
Daniel S. Weld , Denise Draper
Alon Y. Halevy , Daniel S. Weld
Grzegorz Czajkowski , Laurent Dayn&egrave;s
Juchang Lee , Kihong Kim
Juchang Lee , Sang Kyun Cha
Kihong Kim , Sang Kyun Cha
Alfons Kemper , Andreas G&auml;rtner
Andreas G&auml;rtner , Donald Kossmann
Andreas G&auml;rtner , Bernhard Zeller
Alfons Kemper , Donald Kossmann
Alfons Kemper , Bernhard Zeller
Bernhard Zeller , Donald Kossmann
G&ouml;sta Grahne , Laks V. S. Lakshmanan
G&ouml;sta Grahne , Xiaohong Wang
G&ouml;sta Grahne , Ming Hao Xie
Laks V. S. Lakshmanan , Xiaohong Wang
Laks V. S. Lakshmanan , Ming Hao Xie
Ming Hao Xie , Xiaohong Wang
Joseph L. Hellerstein , Sheng Ma
Jian Pei , Jiawei Han
Behzad Mortazavi-Asl , Jian Pei
Helen Pinto , Jian Pei
Jian Pei , Qiming Chen
Jian Pei , Umeshwar Dayal
Jian Pei , Meichun Hsu
Behzad Mortazavi-Asl , Jiawei Han
Helen Pinto , Jiawei Han
Jiawei Han , Qiming Chen
Jiawei Han , Umeshwar Dayal
Jiawei Han , Meichun Hsu
Behzad Mortazavi-Asl , Helen Pinto
Behzad Mortazavi-Asl , Qiming Chen
Behzad Mortazavi-Asl , Umeshwar Dayal
Behzad Mortazavi-Asl , Meichun Hsu
Helen Pinto , Qiming Chen
Helen Pinto , Umeshwar Dayal
Helen Pinto , Meichun Hsu
Qiming Chen , Umeshwar Dayal
Meichun Hsu , Qiming Chen
Meichun Hsu , Umeshwar Dayal
Amrish Lal , Jonas S. Karlsson
Jonas S. Karlsson , T. Y. Cliff Leung
Jonas S. Karlsson , Thanh Pham
Amrish Lal , T. Y. Cliff Leung
Amrish Lal , Thanh Pham
T. Y. Cliff Leung , Thanh Pham
Gustavo Alonso , Win Bausch
Cesare Pautasso , Gustavo Alonso
Ari Kahn , Gustavo Alonso
Gustavo Alonso , Michael T. Hallett
Cesare Pautasso , Win Bausch
Ari Kahn , Win Bausch
Michael T. Hallett , Win Bausch
Ari Kahn , Cesare Pautasso
Cesare Pautasso , Michael T. Hallett
Ari Kahn , Michael T. Hallett
Meichun Hsu , Qiming Chen
Kyu-Young Whang , Yang-Sae Moon
Woong-Kee Loh , Yang-Sae Moon
Kyu-Young Whang , Woong-Kee Loh
Ambuj K. Singh , Tamer Kahveci
Jiong Yang , Wei Wang
Richard R. Muntz , Wei Wang
Jiong Yang , Richard R. Muntz
Seung Jin Lim , Yiu-Kai Ng
Dao Dinh Kha , Masatoshi Yoshikawa
Dao Dinh Kha , Shunsuke Uemura
Masatoshi Yoshikawa , Shunsuke Uemura
Albrecht Schmidt , Martin L. Kersten
Albrecht Schmidt , Menzo Windhouwer
Martin L. Kersten , Menzo Windhouwer
Giorgio Terracina , Luigi Palopoli
Domenico Ursino , Luigi Palopoli
Domenico Ursino , Giorgio Terracina
Eugene Inseok Chong , Souripriya Das
Chuck Freiwald , Eugene Inseok Chong
Eugene Inseok Chong , Jagannathan Srinivasan
Aravind Yalamanchi , Eugene Inseok Chong
Eugene Inseok Chong , Mahesh Jagannath
Anh-Tuan Tran , Eugene Inseok Chong
Eugene Inseok Chong , Ramkumar Krishnan
Chuck Freiwald , Souripriya Das
Jagannathan Srinivasan , Souripriya Das
Aravind Yalamanchi , Souripriya Das
Mahesh Jagannath , Souripriya Das
Anh-Tuan Tran , Souripriya Das
Ramkumar Krishnan , Souripriya Das
Chuck Freiwald , Jagannathan Srinivasan
Aravind Yalamanchi , Chuck Freiwald
Chuck Freiwald , Mahesh Jagannath
Anh-Tuan Tran , Chuck Freiwald
Chuck Freiwald , Ramkumar Krishnan
Aravind Yalamanchi , Jagannathan Srinivasan
Jagannathan Srinivasan , Mahesh Jagannath
Anh-Tuan Tran , Jagannathan Srinivasan
Jagannathan Srinivasan , Ramkumar Krishnan
Aravind Yalamanchi , Mahesh Jagannath
Anh-Tuan Tran , Aravind Yalamanchi
Aravind Yalamanchi , Ramkumar Krishnan
Anh-Tuan Tran , Mahesh Jagannath
Mahesh Jagannath , Ramkumar Krishnan
Anh-Tuan Tran , Ramkumar Krishnan
Goetz Graefe , Per-&Aring;ke Larson
Anthony K. H. Tung , Jean Hou
Anthony K. H. Tung , Jiawei Han
Jean Hou , Jiawei Han
Ning An , Zhen-Yu Yang
Anand Sivasubramaniam , Ning An
Anand Sivasubramaniam , Zhen-Yu Yang
Amir Netz , Surajit Chaudhuri
Amir Netz , Usama M. Fayyad
Amir Netz , Jeff Bernhardt
Surajit Chaudhuri , Usama M. Fayyad
Jeff Bernhardt , Surajit Chaudhuri
Jeff Bernhardt , Usama M. Fayyad
Klaus Kreplin , Thomas Zurek
Roberta Cochrane , Wolfgang Lehner
Hamid Pirahesh , Wolfgang Lehner
Markos Zaharioudakis , Wolfgang Lehner
Hamid Pirahesh , Roberta Cochrane
Markos Zaharioudakis , Roberta Cochrane
Hamid Pirahesh , Markos Zaharioudakis
Klemens B&ouml;hm , Michael Mlivoncic
Klemens B&ouml;hm , Roger Weber
Michael Mlivoncic , Roger Weber
Christian B&ouml;hm , Hans-Peter Kriegel
Donald Kossmann , Stephan B&ouml;rzs&ouml;nyi
Konrad Stocker , Stephan B&ouml;rzs&ouml;nyi
Donald Kossmann , Konrad Stocker
Jian Pei , Jiawei Han
Jian Pei , Laks V. S. Lakshmanan
Jiawei Han , Laks V. S. Lakshmanan
Douglas Burdick , Manuel Calimlim
Douglas Burdick , Johannes Gehrke
Johannes Gehrke , Manuel Calimlim
Dimitrios Gunopulos , George Kollios
George Kollios , Nick Koudas
George Kollios , Stefan Berchtold
Dimitrios Gunopulos , Nick Koudas
Dimitrios Gunopulos , Stefan Berchtold
Nick Koudas , Stefan Berchtold
Congjun Yang , King-Ip Lin
Norio Katayama , Shin'ichi Satoh
Ertem Tuncel , Hakan Ferhatosmanoglu
Divyakant Agrawal , Hakan Ferhatosmanoglu
Amr El Abbadi , Hakan Ferhatosmanoglu
Divyakant Agrawal , Ertem Tuncel
Amr El Abbadi , Ertem Tuncel
Amr El Abbadi , Divyakant Agrawal
Chang-Sup Park , Myoung-Ho Kim
Chang-Sup Park , Yoon-Joon Lee
Myoung-Ho Kim , Yoon-Joon Lee
Damianos Chatziantoniou , Michael O. Akinde
Damianos Chatziantoniou , Theodore Johnson
Damianos Chatziantoniou , Samuel Kim
Michael O. Akinde , Theodore Johnson
Michael O. Akinde , Samuel Kim
Samuel Kim , Theodore Johnson
Gautam Das , Surajit Chaudhuri
Mayur Datar , Surajit Chaudhuri
Rajeev Motwani , Surajit Chaudhuri
Surajit Chaudhuri , Vivek R. Narasayya
Gautam Das , Mayur Datar
Gautam Das , Rajeev Motwani
Gautam Das , Vivek R. Narasayya
Mayur Datar , Rajeev Motwani
Mayur Datar , Vivek R. Narasayya
Rajeev Motwani , Vivek R. Narasayya
Jarek Gryz , K. Bernhard Schiefer
Jarek Gryz , Jian Zheng
Calisto Zuzarte , Jarek Gryz
Jian Zheng , K. Bernhard Schiefer
Calisto Zuzarte , K. Bernhard Schiefer
Calisto Zuzarte , Jian Zheng
Hui-I Hsiao , Neeraj Mittal
Sriram Padmanabhan , Timothy Malkemus
Ramesh C. Agarwal , Sriram Padmanabhan
Anant Jhingran , Sriram Padmanabhan
Ramesh C. Agarwal , Timothy Malkemus
Anant Jhingran , Timothy Malkemus
Anant Jhingran , Ramesh C. Agarwal
Donald Kossmann , Konrad Stocker
Konrad Stocker , Reinhard Braumandl
Alfons Kemper , Konrad Stocker
Donald Kossmann , Reinhard Braumandl
Alfons Kemper , Donald Kossmann
Alfons Kemper , Reinhard Braumandl
Bruce G. Lindsay , Jun Rao
Guy M. Lohman , Jun Rao
Hamid Pirahesh , Jun Rao
David E. Simmen , Jun Rao
Bruce G. Lindsay , Guy M. Lohman
Bruce G. Lindsay , Hamid Pirahesh
Bruce G. Lindsay , David E. Simmen
Guy M. Lohman , Hamid Pirahesh
David E. Simmen , Guy M. Lohman
David E. Simmen , Hamid Pirahesh
H. V. Jagadish , Zhiyuan Chen
Flip Korn , Zhiyuan Chen
Nick Koudas , Zhiyuan Chen
S. Muthukrishnan , Zhiyuan Chen
Raymond T. Ng , Zhiyuan Chen
Divesh Srivastava , Zhiyuan Chen
Flip Korn , H. V. Jagadish
H. V. Jagadish , Nick Koudas
H. V. Jagadish , S. Muthukrishnan
H. V. Jagadish , Raymond T. Ng
Divesh Srivastava , H. V. Jagadish
Flip Korn , Nick Koudas
Flip Korn , S. Muthukrishnan
Flip Korn , Raymond T. Ng
Divesh Srivastava , Flip Korn
Nick Koudas , S. Muthukrishnan
Nick Koudas , Raymond T. Ng
Divesh Srivastava , Nick Koudas
Raymond T. Ng , S. Muthukrishnan
Divesh Srivastava , S. Muthukrishnan
Divesh Srivastava , Raymond T. Ng
Sang-Wook Kim , Sanghyun Park
Sang-Wook Kim , Wesley W. Chu
Sanghyun Park , Wesley W. Chu
Mario A. Lopez , Swanwa Liao
Scott T. Leutenegger , Swanwa Liao
Mario A. Lopez , Scott T. Leutenegger
Agma J. M. Traina , Roberto F. Santos Filho
Caetano Traina Jr. , Roberto F. Santos Filho
Christos Faloutsos , Roberto F. Santos Filho
Agma J. M. Traina , Caetano Traina Jr.
Agma J. M. Traina , Christos Faloutsos
Caetano Traina Jr. , Christos Faloutsos
Kian-Lee Tan , Shen-Tat Goh
Beng Chin Ooi , Kian-Lee Tan
Beng Chin Ooi , Shen-Tat Goh
Klemens B&ouml;hm , Uwe R&ouml;hm
Hans-J&ouml;rg Schek , Uwe R&ouml;hm
Hans-J&ouml;rg Schek , Klemens B&ouml;hm
Wook-Shin Han , Yang-Sae Moon
Kyu-Young Whang , Wook-Shin Han
Il-Yeol Song , Wook-Shin Han
Kyu-Young Whang , Yang-Sae Moon
Il-Yeol Song , Yang-Sae Moon
Il-Yeol Song , Kyu-Young Whang
Charu C. Aggarwal , Philip S. Yu
Aijun An , Yuanyuan Wang
Ron Kohavi , Suhail Ansari
Llew Mason , Suhail Ansari
Suhail Ansari , Zijian Zheng
Llew Mason , Ron Kohavi
Ron Kohavi , Zijian Zheng
Llew Mason , Zijian Zheng
Keith C. C. Chan , Wai-Ho Au
Jos&eacute; L. Balc&aacute;zar , Yang Dai
Jos&eacute; L. Balc&aacute;zar , Osamu Watanabe
Osamu Watanabe , Yang Dai
Bay-Wei Chang , Krishna Bharat
Krishna Bharat , Monika Rauch Henzinger
Krishna Bharat , Matthias Ruhl
Bay-Wei Chang , Monika Rauch Henzinger
Bay-Wei Chang , Matthias Ruhl
Matthias Ruhl , Monika Rauch Henzinger
Catherine Blake , Wanda Pratt
David J. Hand , Richard J. Bolton
Krishnamoorthy Sivakumar , Rong Chen
Hillol Kargupta , Rong Chen
Hillol Kargupta , Krishnamoorthy Sivakumar
Jong-Sheng Cherng , Mei-Jung Lo
Christopher Meek , David Maxwell Chickering
David Maxwell Chickering , Robert Rounthwaite
Christopher Meek , Robert Rounthwaite
Kian-Lee Tan , Manoranjan Dash
Huan Liu , Manoranjan Dash
Huan Liu , Kian-Lee Tan
Chris H. Q. Ding , Xiaofeng He
Chris H. Q. Ding , Hongyuan Zha
Chris H. Q. Ding , Ming Gu
Chris H. Q. Ding , Horst D. Simon
Hongyuan Zha , Xiaofeng He
Ming Gu , Xiaofeng He
Horst D. Simon , Xiaofeng He
Hongyuan Zha , Ming Gu
Hongyuan Zha , Horst D. Simon
Horst D. Simon , Ming Gu
Juho Rousu , Tapio Elomaa
Matthew Miller , Wei Fan
Salvatore J. Stolfo , Wei Fan
Wei Fan , Wenke Lee
Philip K. Chan , Wei Fan
Matthew Miller , Salvatore J. Stolfo
Matthew Miller , Wenke Lee
Matthew Miller , Philip K. Chan
Salvatore J. Stolfo , Wenke Lee
Philip K. Chan , Salvatore J. Stolfo
Philip K. Chan , Wenke Lee
Hichem Frigui , Mohamed Ben Hadj Rhouma
Bart Goethals , Floris Geerts
Floris Geerts , Jan Van den Bussche
Bart Goethals , Jan Van den Bussche
Karam Gouda , Mohammed Javeed Zaki
Henner Graubitz , Myra Spiliopoulou
Henner Graubitz , Karsten Winkler
Karsten Winkler , Myra Spiliopoulou
George Karypis , Valerie Guralnik
Maria Halkidi , Michalis Vazirgiannis
Chris H. Q. Ding , Xiaofeng He
Hongyuan Zha , Xiaofeng He
Horst D. Simon , Xiaofeng He
Chris H. Q. Ding , Hongyuan Zha
Chris H. Q. Ding , Horst D. Simon
Hongyuan Zha , Horst D. Simon
Johan Himberg , Kalle Korpiaho
Heikki Mannila , Johan Himberg
Johan Himberg , Johanna Tikanm&auml;ki
Hannu Toivonen , Johan Himberg
Heikki Mannila , Kalle Korpiaho
Johanna Tikanm&auml;ki , Kalle Korpiaho
Hannu Toivonen , Kalle Korpiaho
Heikki Mannila , Johanna Tikanm&auml;ki
Hannu Toivonen , Heikki Mannila
Hannu Toivonen , Johanna Tikanm&auml;ki
Shoji Hirano , Shusaku Tsumoto
Tzung-Pei Hong , Yeong-Chyi Lee
Don-Lin Yang , Ming-Chuan Hung
Hisao Ishibuchi , Takashi Yamamoto
Hisao Ishibuchi , Tomoharu Nakashima
Takashi Yamamoto , Tomoharu Nakashima
Mahesh V. Joshi , Vipin Kumar
Mahesh V. Joshi , Ramesh C. Agarwal
Ramesh C. Agarwal , Vipin Kumar
Sung Young Jung , Taek-Soo Kim
Dhiral Gada , Konstantinos Kalpakis
Konstantinos Kalpakis , Vasundhara Puttagunta
Dhiral Gada , Vasundhara Puttagunta
Byung-Hoon Park , Hillol Kargupta
Eamonn J. Keogh , Selina Chu
David Hart , Eamonn J. Keogh
Eamonn J. Keogh , Michael J. Pazzani
David Hart , Selina Chu
Michael J. Pazzani , Selina Chu
David Hart , Michael J. Pazzani
Jon Timmis , Thomas Knight
George Karypis , Michihiro Kuramochi
Frank Wm. Tompa , Zarrin Langari
Chang-Hung Lee , Cheng-Ru Lin
Chang-Hung Lee , Ming-Syan Chen
Cheng-Ru Lin , Ming-Syan Chen
Jung-Won Lee , Kiho Lee
Jung-Won Lee , Won Kim
Kiho Lee , Won Kim
Beitao Li , Wei-Cheng Lai
Beitao Li , Edward Y. Chang
Beitao Li , Kwang-Ting Cheng
Edward Y. Chang , Wei-Cheng Lai
Kwang-Ting Cheng , Wei-Cheng Lai
Edward Y. Chang , Kwang-Ting Cheng
Hong Shen , Jiuyong Li
Jiuyong Li , Rodney W. Topor
Hong Shen , Rodney W. Topor
Jiawei Han , Wenmin Li
Jian Pei , Wenmin Li
Jian Pei , Jiawei Han
Bing Liu , Yiming Ma
Bing Liu , Ronnie Lee
Ronnie Lee , Yiming Ma
Gary Livingston , John M. Rosenberg
Bruce G. Buchanan , Gary Livingston
Bruce G. Buchanan , John M. Rosenberg
Gary Livingston , John M. Rosenberg
Bruce G. Buchanan , Gary Livingston
Bruce G. Buchanan , John M. Rosenberg
Lee-Feng Chien , Wen-Hsiang Lu
Hsi-Jian Lee , Wen-Hsiang Lu
Hsi-Jian Lee , Lee-Feng Chien
Joseph L. Hellerstein , Sheng Ma
Mohamed Bendou , Paul Munteanu
Steven Noel , Vijay V. Raghavan
Chee-Hung Henry Chu , Steven Noel
Chee-Hung Henry Chu , Vijay V. Raghavan
Carlos Ordonez , Edward Omiecinski
Carlos Ordonez , Levien de Braal
Carlos Ordonez , Cesar A. Santana
Carlos Ordonez , Norberto F. Ezquerra
Carlos Ordonez , Jos&eacute; A. Taboada
C. David Cooke , Carlos Ordonez
Carlos Ordonez , Elizabeth Krawczynska
Carlos Ordonez , Ernest V. Garcia
Edward Omiecinski , Levien de Braal
Cesar A. Santana , Edward Omiecinski
Edward Omiecinski , Norberto F. Ezquerra
Edward Omiecinski , Jos&eacute; A. Taboada
C. David Cooke , Edward Omiecinski
Edward Omiecinski , Elizabeth Krawczynska
Edward Omiecinski , Ernest V. Garcia
Cesar A. Santana , Levien de Braal
Levien de Braal , Norberto F. Ezquerra
Jos&eacute; A. Taboada , Levien de Braal
C. David Cooke , Levien de Braal
Elizabeth Krawczynska , Levien de Braal
Ernest V. Garcia , Levien de Braal
Cesar A. Santana , Norberto F. Ezquerra
Cesar A. Santana , Jos&eacute; A. Taboada
C. David Cooke , Cesar A. Santana
Cesar A. Santana , Elizabeth Krawczynska
Cesar A. Santana , Ernest V. Garcia
Jos&eacute; A. Taboada , Norberto F. Ezquerra
C. David Cooke , Norberto F. Ezquerra
Elizabeth Krawczynska , Norberto F. Ezquerra
Ernest V. Garcia , Norberto F. Ezquerra
C. David Cooke , Jos&eacute; A. Taboada
Elizabeth Krawczynska , Jos&eacute; A. Taboada
Ernest V. Garcia , Jos&eacute; A. Taboada
C. David Cooke , Elizabeth Krawczynska
C. David Cooke , Ernest V. Garcia
Elizabeth Krawczynska , Ernest V. Garcia
Jian Pei , Jiawei Han
Hongjun Lu , Jian Pei
Jian Pei , Shojiro Nishio
Jian Pei , Shiwei Tang
Dongqing Yang , Jian Pei
Hongjun Lu , Jiawei Han
Jiawei Han , Shojiro Nishio
Jiawei Han , Shiwei Tang
Dongqing Yang , Jiawei Han
Hongjun Lu , Shojiro Nishio
Hongjun Lu , Shiwei Tang
Dongqing Yang , Hongjun Lu
Shiwei Tang , Shojiro Nishio
Dongqing Yang , Shojiro Nishio
Dongqing Yang , Shiwei Tang
Chang-Shing Perng , Haixun Wang
Chang-Shing Perng , Sheng Ma
Chang-Shing Perng , Joseph L. Hellerstein
Haixun Wang , Sheng Ma
Haixun Wang , Joseph L. Hellerstein
Joseph L. Hellerstein , Sheng Ma
Kimmo Raivio , Olli Simula
Jaana Laiho , Kimmo Raivio
Jaana Laiho , Olli Simula
Graeme Richards , Victor J. Rayward-Smith
Lior Rokach , Oded Maimon
Ying Sai , Yiyu Yao
Ning Zhong , Ying Sai
Ning Zhong , Yiyu Yao
George Karypis , Masakazu Seno
Jo&atilde;o Mexia , Joaquim Ferreira da Silva
Carlos Agra Coelho , Joaquim Ferreira da Silva
Joaquim Ferreira da Silva , Jos&eacute; Gabriel Pereira Lopes
Carlos Agra Coelho , Jo&atilde;o Mexia
Jo&atilde;o Mexia , Jos&eacute; Gabriel Pereira Lopes
Carlos Agra Coelho , Jos&eacute; Gabriel Pereira Lopes
Aixin Sun , Ee-Peng Lim
Fran&ccedil;ois Velin , Pascale Kuntz
Fran&ccedil;ois Velin , Henri Briand
Henri Briand , Pascale Kuntz
Ching-Yao Wang , Tzung-Pei Hong
Ching-Yao Wang , Shian-Shyong Tseng
Shian-Shyong Tseng , Tzung-Pei Hong
Haixun Wang , Philip S. Yu
Jiong Yang , Wei Wang
Philip S. Yu , Wei Wang
Jiong Yang , Philip S. Yu
Ning Zhong , Y. Y. Yao
Muneaki Ohshima , Ning Zhong
Ning Zhong , Setsuo Ohsuga
Muneaki Ohshima , Y. Y. Yao
Setsuo Ohsuga , Y. Y. Yao
Muneaki Ohshima , Setsuo Ohsuga
Fernando Alonso , Juan Pedro Cara&ccedil;a-Valente
Fernando Alonso , Lo&iuml;c Mart&iacute;nez
C&eacute;sar Montes , Fernando Alonso
Juan Pedro Cara&ccedil;a-Valente , Lo&iuml;c Mart&iacute;nez
C&eacute;sar Montes , Juan Pedro Cara&ccedil;a-Valente
C&eacute;sar Montes , Lo&iuml;c Mart&iacute;nez
Nitesh V. Chawla , Steven Eschrich
Lawrence O. Hall , Nitesh V. Chawla
Lawrence O. Hall , Steven Eschrich
Haiying Li , Jie Chen
Jie Chen , Shiwei Tang
Haiying Li , Shiwei Tang
June-Suh Cho , Nabil R. Adam
Honghua Dai , Xiaoshu Hang
Gang Li , Honghua Dai
Gang Li , Xiaoshu Hang
Carlotta Domeniconi , Dimitrios Gunopulos
Lars Schmidt-Thieme , Wolfgang Gaul
Anders Holst , Daniel Gillblad
Jitender S. Deogun , Sherri K. Harms
Jamil Saquer , Sherri K. Harms
Sherri K. Harms , Tsegaye Tadesse
Jamil Saquer , Jitender S. Deogun
Jitender S. Deogun , Tsegaye Tadesse
Jamil Saquer , Tsegaye Tadesse
Alexander Maedche , Andreas Hotho
Andreas Hotho , Steffen Staab
Alexander Maedche , Steffen Staab
Nandit Soparkar , Viviane Crestana-Jensen
Fu Tong , Gang Li
Gang Li , Honghua Dai
Fu Tong , Honghua Dai
