Anthony D. Worrall , Arthur E. C. Pece
Jacob Kogan , Yuqiang Guan
Chris H. Q. Ding , Xiaofeng He
Chris H. Q. Ding , Xiaofeng He
Chris H. Q. Ding , Hongyuan Zha
Chris H. Q. Ding , Horst D. Simon
Hongyuan Zha , Xiaofeng He
Horst D. Simon , Xiaofeng He
Hongyuan Zha , Horst D. Simon
G&uuml;nther Gediga , Ivo D&uuml;ntsch
Haixun Wang , Wei Fan
Philip S. Yu , Wei Fan
Shaw-hwa Lo , Wei Fan
Salvatore J. Stolfo , Wei Fan
Haixun Wang , Philip S. Yu
Haixun Wang , Shaw-hwa Lo
Haixun Wang , Salvatore J. Stolfo
Philip S. Yu , Shaw-hwa Lo
Philip S. Yu , Salvatore J. Stolfo
Salvatore J. Stolfo , Shaw-hwa Lo
Jani M&auml;ntyj&auml;rvi , John A. Flanagan
Johan Himberg , John A. Flanagan
Jani M&auml;ntyj&auml;rvi , Johan Himberg
Andrew Foss , Osmar R. Za&iuml;ane
Gabriel Pui Cheong Fung , Jeffrey Xu Yu
Gabriel Pui Cheong Fung , Hongjun Lu
Hongjun Lu , Jeffrey Xu Yu
Andrew E. Fano , Rayid Ghani
Khaled M. Hammouda , Mohamed S. Kamel
Jianyong Wang , Jiawei Han
Jiawei Han , Ying Lu
Jiawei Han , Petre Tzvetkov
Jianyong Wang , Ying Lu
Jianyong Wang , Petre Tzvetkov
Petre Tzvetkov , Ying Lu
Shoji Hirano , Shusaku Tsumoto
Chieh-Ming Wu , Yin-Fu Huang
Jeong-Hee Hong , Sung Young Jung
Sung Young Jung , Taek-Soo Kim
Jeong-Hee Hong , Taek-Soo Kim
Michelangelo Diligenti , Milos Kovacevic
Marco Gori , Milos Kovacevic
Milos Kovacevic , Veljko M. Milutinovic
Marco Gori , Michelangelo Diligenti
Michelangelo Diligenti , Veljko M. Milutinovic
Marco Gori , Veljko M. Milutinovic
George Karypis , Michihiro Kuramochi
Nada Lavrac , Peter A. Flach
Branko Kavsek , Nada Lavrac
Ljupco Todorovski , Nada Lavrac
Branko Kavsek , Peter A. Flach
Ljupco Todorovski , Peter A. Flach
Branko Kavsek , Ljupco Todorovski
Gang Li , Honghua Dai
Gang Li , Yiqing Tu
Honghua Dai , Yiqing Tu
Boriana L. Milenova , Marcos M. Campos
Ankush Mittal , Loong Fah Cheong
Llu&iacute;s Belanche , Luis Carlos Molina
&Agrave;ngela Nebot , Luis Carlos Molina
&Agrave;ngela Nebot , Llu&iacute;s Belanche
Fabrice Muhlenbach , Ricco Rakotomalala
Ada Wai-Chee Fu , Eric Ka Ka Ng
Eric Ka Ka Ng , Ke Wang
Ada Wai-Chee Fu , Ke Wang
Paolo Palmerini , Salvatore Orlando
Raffaele Perego , Salvatore Orlando
Fabrizio Silvestri , Salvatore Orlando
Paolo Palmerini , Raffaele Perego
Fabrizio Silvestri , Paolo Palmerini
Fabrizio Silvestri , Raffaele Perego
Laurence A. F. Park , Marimuthu Palaniswami
Kotagiri Ramamohanarao , Laurence A. F. Park
Kotagiri Ramamohanarao , Marimuthu Palaniswami
Matt Coatney , Srinivasan Parthasarathy
Eamonn J. Keogh , Pranav Patel
Jessica Lin , Pranav Patel
Pranav Patel , Stefano Lonardi
Eamonn J. Keogh , Jessica Lin
Eamonn J. Keogh , Stefano Lonardi
Jessica Lin , Stefano Lonardi
Guozhu Dong , Jian Pei
Jian Pei , Wei Zou
Jian Pei , Jiawei Han
Guozhu Dong , Wei Zou
Guozhu Dong , Jiawei Han
Jiawei Han , Wei Zou
Ben Choi , Xiaogang Peng
Chang-Shing Perng , Haixun Wang
Chang-Shing Perng , Sheng Ma
Chang-Shing Perng , Joseph L. Hellerstein
Haixun Wang , Sheng Ma
Haixun Wang , Joseph L. Hellerstein
Joseph L. Hellerstein , Sheng Ma
Panayiotis Tsaparas , Prabhakar Raghavan
George Karypis , Masakazu Seno
Yi-Dong Shen , Zhong Zhang
Qiang Yang , Yi-Dong Shen
Qiang Yang , Zhong Zhang
Huidong Jin , Wing-Ho Shum
Kwong-Sak Leung , Wing-Ho Shum
Man Leung Wong , Wing-Ho Shum
Huidong Jin , Kwong-Sak Leung
Huidong Jin , Man Leung Wong
Kwong-Sak Leung , Man Leung Wong
Ming-Jyh Hsieh , Wei-Guang Teng
Ming-Syan Chen , Wei-Guang Teng
Ming-Jyh Hsieh , Ming-Syan Chen
Alexandre Termier , Marie-Christine Rousset
Alexandre Termier , Mich&egrave;le Sebag
Marie-Christine Rousset , Mich&egrave;le Sebag
Ehud Gudes , Natalia Vanetik
Natalia Vanetik , Solomon Eyal Shimony
Ehud Gudes , Solomon Eyal Shimony
Hannu Toivonen , Kari Vasko
Ricardo Vilalta , Sheng Ma
Chang-Shing Perng , Haixun Wang
Haixun Wang , Sheng Ma
Haixun Wang , Philip S. Yu
Chang-Shing Perng , Sheng Ma
Chang-Shing Perng , Philip S. Yu
Philip S. Yu , Sheng Ma
Geoffrey I. Webb , Zhihai Wang
Man Leung Wong , Shing Yan Lee
Kwong-Sak Leung , Man Leung Wong
Kwong-Sak Leung , Shing Yan Lee
Tak-Lam Wong , Wai Lam
Jeffrey Xu Yu , Yabo Xu
Guimei Liu , Yabo Xu
Hongjun Lu , Yabo Xu
Guimei Liu , Jeffrey Xu Yu
Hongjun Lu , Jeffrey Xu Yu
Guimei Liu , Hongjun Lu
Hong Cheng , Qiang Yang
Hiroshi Motoda , Tetsuya Yoshida
Takashi Washio , Tetsuya Yoshida
Hiroshi Motoda , Takashi Washio
Hwanjo Yu , Kevin Chen-Chuan Chang
Hwanjo Yu , Jiawei Han
Jiawei Han , Kevin Chen-Chuan Chang
Ching-Huang Yun , Kun-Ta Chuang
Ching-Huang Yun , Ming-Syan Chen
Kun-Ta Chuang , Ming-Syan Chen
Ben Kao , Minghua Zhang
Chi Lap Yip , Minghua Zhang
Ben Kao , Chi Lap Yip
Balaji Padmanabhan , Zhiqiang Zheng
Qinghua Zou , Wesley W. Chu
Baojing Lu , Qinghua Zou
Baojing Lu , Wesley W. Chu
Bernd Wiswedel , Michael R. Berthold
David E. Patterson , Michael R. Berthold
Bernd Wiswedel , David E. Patterson
Krishnamoorthy Sivakumar , Rong Chen
Colin Fyfe , Emilio Corchado
Dan A. Simovici , Laurentiu Cristofor
Hasan Davulcu , Saikat Mukherjee
Hasan Davulcu , I. V. Ramakrishnan
I. V. Ramakrishnan , Saikat Mukherjee
Howard J. Hamilton , Liqiang Geng
Richard G. Larson , Robert L. Grossman
Neil Dunstan , Stephen Hodgson
R. Murison , Stephen Hodgson
Neil Dunstan , R. Murison
Jonathan R. M. Hosking , Se June Hong
Ramesh Natarajan , Se June Hong
Jonathan R. M. Hosking , Ramesh Natarajan
Hao Huang , Xindong Wu
Hao Huang , Richard Relue
Richard Relue , Xindong Wu
Kien A. Hua , Ning Jiang
Ning Jiang , Simon Sheu
Kien A. Hua , Simon Sheu
Shotaro Akaho , Toshihiro Kamishima
Fang-Fei Kuo , Man-Kwan Shan
Jinyan Li , Limsoon Wong
Qi Li , Tao Li
Qi Li , Shenghuo Zhu
Chandra Kambhamettu , Qi Li
Shenghuo Zhu , Tao Li
Chandra Kambhamettu , Tao Li
Chandra Kambhamettu , Shenghuo Zhu
Joseph L. Hellerstein , Sheng Ma
Chang-Shing Perng , Sheng Ma
Genady Grabarnik , Sheng Ma
Chang-Shing Perng , Joseph L. Hellerstein
Genady Grabarnik , Joseph L. Hellerstein
Chang-Shing Perng , Genady Grabarnik
Giuseppe Psaila , Rosa Meo
Bamshad Mobasher , Honghua Dai
Bamshad Mobasher , Tao Luo
Bamshad Mobasher , Miki Nakagawa
Honghua Dai , Tao Luo
Honghua Dai , Miki Nakagawa
Miki Nakagawa , Tao Luo
Jiming Liu , Philip W. Tse
Ching-Yao Wang , Tzung-Pei Hong
Ching-Yao Wang , Shian-Shyong Tseng
Shian-Shyong Tseng , Tzung-Pei Hong
Bei Yu , Jun Wang
Jun Wang , Les Gasser
Bei Yu , Les Gasser
Dwi H. Widyantoro , Thomas R. Ioerger
Dwi H. Widyantoro , John Yen
John Yen , Thomas R. Ioerger
Graham J. Williams , Rohan A. Baxter
Graham J. Williams , Hongxing He
Graham J. Williams , Simon Hawkins
Graham J. Williams , Lifang Gu
Hongxing He , Rohan A. Baxter
Rohan A. Baxter , Simon Hawkins
Lifang Gu , Rohan A. Baxter
Hongxing He , Simon Hawkins
Hongxing He , Lifang Gu
Lifang Gu , Simon Hawkins
Dimitrios Gunopulos , Huiwen Wu
Dit-Yan Yeung , Yimin Xiong
Jiawei Han , Xifeng Yan
Jiong Yang , Wei Wang
Jiong Yang , Philip S. Yu
Philip S. Yu , Wei Wang
Hong Yao , Howard J. Hamilton
Cory J. Butz , Hong Yao
Cory J. Butz , Howard J. Hamilton
Jason Tsong-Li Wang , Michael M. Yin
Chi-Hoon Lee , Osmar R. Za&iuml;ane
Bing Zhao , Stephan Vogel
Luigi Dragone , Stefano Cazzella
Stefano Cazzella , Stefano Trisolini
Luigi Dragone , Stefano Trisolini
Serena Chan , Simon Fong
Aijun An , Xiangji Huang
Nick Cercone , Xiangji Huang
Gary Promhouse , Xiangji Huang
Aijun An , Nick Cercone
Aijun An , Gary Promhouse
Gary Promhouse , Nick Cercone
Charles X. Ling , Tielin Chen
Charles X. Ling , Qiang Yang
Charles X. Ling , Jie Cheng
Qiang Yang , Tielin Chen
Jie Cheng , Tielin Chen
Jie Cheng , Qiang Yang
Teresa Mah , Ying Li
Geoffrey I. Webb , James E. Pearce
James E. Pearce , Robin N. Shaw
Brian Garner , James E. Pearce
Geoffrey I. Webb , Robin N. Shaw
Brian Garner , Geoffrey I. Webb
Brian Garner , Robin N. Shaw
Makiko Saito-Arita , Mariko Yohda
Akira Okada , Mariko Yohda
Mariko Yohda , Ryota Suzuki
Mariko Yohda , Yoshitsugu Kakemoto
Akira Okada , Makiko Saito-Arita
Makiko Saito-Arita , Ryota Suzuki
Makiko Saito-Arita , Yoshitsugu Kakemoto
Akira Okada , Ryota Suzuki
Akira Okada , Yoshitsugu Kakemoto
Ryota Suzuki , Yoshitsugu Kakemoto
B. R. Badrinath , Tomasz Imielinski
Axel M&ouml;nkeberg , Gerhard Weikum
Christof Hasse , Gerhard Weikum
Gerhard Weikum , Peter Zabback
Axel M&ouml;nkeberg , Christof Hasse
Axel M&ouml;nkeberg , Peter Zabback
Christof Hasse , Peter Zabback
Dan Cosley , Steve Lawrence
Dan Cosley , David M. Pennock
David M. Pennock , Steve Lawrence
Rahul Gupta , T. V. Ashwin
Sugata Ghosal , T. V. Ashwin
Rahul Gupta , Sugata Ghosal
Abdullah Al-Hamdani , Gultekin &Ouml;zsoyoglu
Gultekin &Ouml;zsoyoglu , Ismail Seng&ouml;r Alting&ouml;vde
Gultekin &Ouml;zsoyoglu , Selma Ayse &Ouml;zel
&Ouml;zg&uuml;r Ulusoy , Gultekin &Ouml;zsoyoglu
Gultekin &Ouml;zsoyoglu , Z. Meral &Ouml;zsoyoglu
Abdullah Al-Hamdani , Ismail Seng&ouml;r Alting&ouml;vde
Abdullah Al-Hamdani , Selma Ayse &Ouml;zel
&Ouml;zg&uuml;r Ulusoy , Abdullah Al-Hamdani
Abdullah Al-Hamdani , Z. Meral &Ouml;zsoyoglu
Ismail Seng&ouml;r Alting&ouml;vde , Selma Ayse &Ouml;zel
&Ouml;zg&uuml;r Ulusoy , Ismail Seng&ouml;r Alting&ouml;vde
Ismail Seng&ouml;r Alting&ouml;vde , Z. Meral &Ouml;zsoyoglu
&Ouml;zg&uuml;r Ulusoy , Selma Ayse &Ouml;zel
Selma Ayse &Ouml;zel , Z. Meral &Ouml;zsoyoglu
&Ouml;zg&uuml;r Ulusoy , Z. Meral &Ouml;zsoyoglu
Jack G. Conrad , Xi S. Guo
Jack G. Conrad , Peter Jackson
Jack G. Conrad , Monem Meziou
Peter Jackson , Xi S. Guo
Monem Meziou , Xi S. Guo
Monem Meziou , Peter Jackson
Chang-Won Park , Jun-Ki Min
Chang-Won Park , Chin-Wan Chung
Chin-Wan Chung , Jun-Ki Min
Christoph Koch , Georg Gottlob
Georg Gottlob , Reinhard Pichler
Christoph Koch , Reinhard Pichler
Philip Bohannon , Sumit Ganguly
Henry F. Korth , Philip Bohannon
P. P. S. Narayan , Philip Bohannon
Philip Bohannon , Pradeep Shenoy
Henry F. Korth , Sumit Ganguly
P. P. S. Narayan , Sumit Ganguly
Pradeep Shenoy , Sumit Ganguly
Henry F. Korth , P. P. S. Narayan
Henry F. Korth , Pradeep Shenoy
P. P. S. Narayan , Pradeep Shenoy
Luc Bouganim , Philippe Pucheral
Jerry Kiernan , Rakesh Agrawal
Rakesh Agrawal , Ramakrishnan Srikant
Rakesh Agrawal , Yirong Xu
Jerry Kiernan , Ramakrishnan Srikant
Jerry Kiernan , Yirong Xu
Ramakrishnan Srikant , Yirong Xu
Jerry Kiernan , Rakesh Agrawal
Arvind Hulgeri , S. Sudarshan
Antara Ghosh , Jignashu Parikh
Antara Ghosh , Vibhuti S. Sengar
Antara Ghosh , Jayant R. Haritsa
Jignashu Parikh , Vibhuti S. Sengar
Jayant R. Haritsa , Jignashu Parikh
Jayant R. Haritsa , Vibhuti S. Sengar
Peter A. Boncz , Stefan Manegold
Martin L. Kersten , Stefan Manegold
Martin L. Kersten , Peter A. Boncz
Michael J. Franklin , Sirish Chandrasekaran
Donald Carney , Ugur &Ccedil;etintemel
Donald Carney , Mitch Cherniack
Christian Convey , Donald Carney
Donald Carney , Sangdon Lee
Donald Carney , Greg Seidman
Donald Carney , Michael Stonebraker
Donald Carney , Nesime Tatbul
Donald Carney , Stanley B. Zdonik
Mitch Cherniack , Ugur &Ccedil;etintemel
Christian Convey , Ugur &Ccedil;etintemel
Sangdon Lee , Ugur &Ccedil;etintemel
Greg Seidman , Ugur &Ccedil;etintemel
Michael Stonebraker , Ugur &Ccedil;etintemel
Nesime Tatbul , Ugur &Ccedil;etintemel
Stanley B. Zdonik , Ugur &Ccedil;etintemel
Christian Convey , Mitch Cherniack
Mitch Cherniack , Sangdon Lee
Greg Seidman , Mitch Cherniack
Michael Stonebraker , Mitch Cherniack
Mitch Cherniack , Nesime Tatbul
Mitch Cherniack , Stanley B. Zdonik
Christian Convey , Sangdon Lee
Christian Convey , Greg Seidman
Christian Convey , Michael Stonebraker
Christian Convey , Nesime Tatbul
Christian Convey , Stanley B. Zdonik
Greg Seidman , Sangdon Lee
Michael Stonebraker , Sangdon Lee
Nesime Tatbul , Sangdon Lee
Sangdon Lee , Stanley B. Zdonik
Greg Seidman , Michael Stonebraker
Greg Seidman , Nesime Tatbul
Greg Seidman , Stanley B. Zdonik
Michael Stonebraker , Nesime Tatbul
Michael Stonebraker , Stanley B. Zdonik
Nesime Tatbul , Stanley B. Zdonik
Bertram Lud&auml;scher , Pratik Mukhopadhyay
Bertram Lud&auml;scher , Yannis Papakonstantinou
Pratik Mukhopadhyay , Yannis Papakonstantinou
Philip Bohannon , Raghav Kaushik
Jeffrey F. Naughton , Raghav Kaushik
Pradeep Shenoy , Raghav Kaushik
Jeffrey F. Naughton , Philip Bohannon
Philip Bohannon , Pradeep Shenoy
Jeffrey F. Naughton , Pradeep Shenoy
Chee Yong Chan , Minos N. Garofalakis
Chee Yong Chan , Rajeev Rastogi
Minos N. Garofalakis , Rajeev Rastogi
Shu-Yao Chien , Zografoula Vagena
Donghui Zhang , Shu-Yao Chien
Shu-Yao Chien , Vassilis J. Tsotras
Carlo Zaniolo , Shu-Yao Chien
Donghui Zhang , Zografoula Vagena
Vassilis J. Tsotras , Zografoula Vagena
Carlo Zaniolo , Zografoula Vagena
Donghui Zhang , Vassilis J. Tsotras
Carlo Zaniolo , Donghui Zhang
Carlo Zaniolo , Vassilis J. Tsotras
Donald Kossmann , Frank Ramsak
Donald Kossmann , Steffen Rost
Frank Ramsak , Steffen Rost
Dimitris Papadias , Yufei Tao
Qiongmao Shen , Yufei Tao
Dimitris Papadias , Qiongmao Shen
Bernhard Seeger , Jens-Peter Dittrich
David Scot Taylor , Jens-Peter Dittrich
Jens-Peter Dittrich , Peter Widmayer
Bernhard Seeger , David Scot Taylor
Bernhard Seeger , Peter Widmayer
David Scot Taylor , Peter Widmayer
Guozhu Dong , Yixin Chen
Jiawei Han , Yixin Chen
Benjamin W. Wah , Yixin Chen
Jianyong Wang , Yixin Chen
Guozhu Dong , Jiawei Han
Benjamin W. Wah , Guozhu Dong
Guozhu Dong , Jianyong Wang
Benjamin W. Wah , Jiawei Han
Jianyong Wang , Jiawei Han
Benjamin W. Wah , Jianyong Wang
Graham Cormode , Mayur Datar
Graham Cormode , Piotr Indyk
Graham Cormode , S. Muthukrishnan
Mayur Datar , Piotr Indyk
Mayur Datar , S. Muthukrishnan
Piotr Indyk , S. Muthukrishnan
Gurmeet Singh Manku , Rajeev Motwani
Dennis Shasha , Yunyue Zhu
Ronny Lempel , Shlomo Moran
Maxim Lifantsev , Tzi-cker Chiueh
Luis Gravano , Panagiotis G. Ipeirotis
Dimitris Papadias , Yufei Tao
David J. DeWitt , Ravishankar Ramamurthy
Qi Su , Ravishankar Ramamurthy
David J. DeWitt , Qi Su
Lipyeow Lim , Min Wang
Lipyeow Lim , Sriram Padmanabhan
Jeffrey Scott Vitter , Lipyeow Lim
Lipyeow Lim , Ronald Parr
Min Wang , Sriram Padmanabhan
Jeffrey Scott Vitter , Min Wang
Min Wang , Ronald Parr
Jeffrey Scott Vitter , Sriram Padmanabhan
Ronald Parr , Sriram Padmanabhan
Jeffrey Scott Vitter , Ronald Parr
Anna C. Gilbert , Yannis Kotidis
Anna C. Gilbert , S. Muthukrishnan
Anna C. Gilbert , Martin Strauss
S. Muthukrishnan , Yannis Kotidis
Martin Strauss , Yannis Kotidis
Martin Strauss , S. Muthukrishnan
Minos N. Garofalakis , Neoklis Polyzotis
Divesh Srivastava , Ting Yu
Laks V. S. Lakshmanan , Ting Yu
H. V. Jagadish , Ting Yu
Divesh Srivastava , Laks V. S. Lakshmanan
Divesh Srivastava , H. V. Jagadish
H. V. Jagadish , Laks V. S. Lakshmanan
Sihem Amer-Yahia , SungRan Cho
Laks V. S. Lakshmanan , SungRan Cho
Divesh Srivastava , SungRan Cho
Laks V. S. Lakshmanan , Sihem Amer-Yahia
Divesh Srivastava , Sihem Amer-Yahia
Divesh Srivastava , Laks V. S. Lakshmanan
Claudio Bettini , Sushil Jajodia
Claudio Bettini , Xiaoyang Sean Wang
Claudio Bettini , Duminda Wijesekera
Sushil Jajodia , Xiaoyang Sean Wang
Duminda Wijesekera , Sushil Jajodia
Duminda Wijesekera , Xiaoyang Sean Wang
Alexandros Ntoulas , Junghoo Cho
Krithi Ramamritham , Shetal Shah
Prashant J. Shenoy , Shetal Shah
Krithi Ramamritham , Prashant J. Shenoy
Laura Bright , Louiqa Raschid
Divyakant Agrawal , K. Sel&ccedil;uk Candan
K. Sel&ccedil;uk Candan , Wen-Syan Li
K. Sel&ccedil;uk Candan , Oliver Po
K. Sel&ccedil;uk Candan , Wang-Pin Hsiung
Divyakant Agrawal , Wen-Syan Li
Divyakant Agrawal , Oliver Po
Divyakant Agrawal , Wang-Pin Hsiung
Oliver Po , Wen-Syan Li
Wang-Pin Hsiung , Wen-Syan Li
Oliver Po , Wang-Pin Hsiung
Alejandro P. Buchmann , Samuel Kounev
Rohit Ananthakrishna , Surajit Chaudhuri
Rohit Ananthakrishna , Venkatesh Ganti
Surajit Chaudhuri , Venkatesh Ganti
Lucian Popa , Yannis Velegrakis
Lucian Popa , Ren&eacute;e J. Miller
Lucian Popa , Mauricio A. Hern&aacute;ndez
Lucian Popa , Ronald Fagin
Ren&eacute;e J. Miller , Yannis Velegrakis
Mauricio A. Hern&aacute;ndez , Yannis Velegrakis
Ronald Fagin , Yannis Velegrakis
Mauricio A. Hern&aacute;ndez , Ren&eacute;e J. Miller
Ren&eacute;e J. Miller , Ronald Fagin
Mauricio A. Hern&aacute;ndez , Ronald Fagin
Erhard Rahm , Hong Hai Do
Etzard Stolte , Gustavo Alonso
Jignesh M. Patel , Laurie Hammel
Andrew Nierman , H. V. Jagadish
Shourya Roy , Soumen Chakrabarti
Mahesh V. Soundalgekar , Soumen Chakrabarti
Mahesh V. Soundalgekar , Shourya Roy
Vagelis Hristidis , Yannis Papakonstantinou
Jayant R. Haritsa , Shariq Rizvi
Michael Kifer , Pinar Senkul
Ismail Hakki Toroslu , Pinar Senkul
Ismail Hakki Toroslu , Michael Kifer
Henry F. Korth , Stephen Blott
Grzegorz Czajkowski , Laurent Dayn&egrave;s
Aris Tsois , Nikos Karayannidis
Nikos Karayannidis , Timos K. Sellis
Nikos Karayannidis , Roland Pieringer
Nikos Karayannidis , Volker Markl
Frank Ramsak , Nikos Karayannidis
Nikos Karayannidis , Robert Fenk
Klaus Elhardt , Nikos Karayannidis
Nikos Karayannidis , Rudolf Bayer
Aris Tsois , Timos K. Sellis
Aris Tsois , Roland Pieringer
Aris Tsois , Volker Markl
Aris Tsois , Frank Ramsak
Aris Tsois , Robert Fenk
Aris Tsois , Klaus Elhardt
Aris Tsois , Rudolf Bayer
Roland Pieringer , Timos K. Sellis
Timos K. Sellis , Volker Markl
Frank Ramsak , Timos K. Sellis
Robert Fenk , Timos K. Sellis
Klaus Elhardt , Timos K. Sellis
Rudolf Bayer , Timos K. Sellis
Roland Pieringer , Volker Markl
Frank Ramsak , Roland Pieringer
Robert Fenk , Roland Pieringer
Klaus Elhardt , Roland Pieringer
Roland Pieringer , Rudolf Bayer
Frank Ramsak , Volker Markl
Robert Fenk , Volker Markl
Klaus Elhardt , Volker Markl
Rudolf Bayer , Volker Markl
Frank Ramsak , Robert Fenk
Frank Ramsak , Klaus Elhardt
Frank Ramsak , Rudolf Bayer
Klaus Elhardt , Robert Fenk
Robert Fenk , Rudolf Bayer
Klaus Elhardt , Rudolf Bayer
Chin-Wan Chung , Heum-Geun Kang
Klemens B&ouml;hm , Uwe R&ouml;hm
Hans-J&ouml;rg Schek , Uwe R&ouml;hm
Heiko Schuldt , Uwe R&ouml;hm
Hans-J&ouml;rg Schek , Klemens B&ouml;hm
Heiko Schuldt , Klemens B&ouml;hm
Hans-J&ouml;rg Schek , Heiko Schuldt
Laks V. S. Lakshmanan , Raymond T. Ng
Christine Xing Wang , Laks V. S. Lakshmanan
Laks V. S. Lakshmanan , Xiaodong Zhou
Laks V. S. Lakshmanan , Theodore Johnson
Christine Xing Wang , Raymond T. Ng
Raymond T. Ng , Xiaodong Zhou
Raymond T. Ng , Theodore Johnson
Christine Xing Wang , Xiaodong Zhou
Christine Xing Wang , Theodore Johnson
Theodore Johnson , Xiaodong Zhou
Jian Pei , Laks V. S. Lakshmanan
Jiawei Han , Laks V. S. Lakshmanan
Jian Pei , Jiawei Han
Kyu-Young Whang , Young-Koo Lee
Yang-Sae Moon , Young-Koo Lee
Il-Yeol Song , Young-Koo Lee
Kyu-Young Whang , Yang-Sae Moon
Il-Yeol Song , Kyu-Young Whang
Il-Yeol Song , Yang-Sae Moon
Richard Sidle , Themistoklis Palpanas
Roberta Cochrane , Themistoklis Palpanas
Hamid Pirahesh , Themistoklis Palpanas
Richard Sidle , Roberta Cochrane
Hamid Pirahesh , Richard Sidle
Hamid Pirahesh , Roberta Cochrane
Flip Korn , S. Muthukrishnan
Divesh Srivastava , Flip Korn
Divesh Srivastava , S. Muthukrishnan
Chee Yong Chan , Wenfei Fan
Chee Yong Chan , Pascal Felber
Chee Yong Chan , Minos N. Garofalakis
Chee Yong Chan , Rajeev Rastogi
Pascal Felber , Wenfei Fan
Minos N. Garofalakis , Wenfei Fan
Rajeev Rastogi , Wenfei Fan
Minos N. Garofalakis , Pascal Felber
Pascal Felber , Rajeev Rastogi
Minos N. Garofalakis , Rajeev Rastogi
Chee Yong Chan , Michael Benedikt
Michael Benedikt , Wenfei Fan
Michael Benedikt , Rajeev Rastogi
Michael Benedikt , Shihui Zheng
Aoying Zhou , Michael Benedikt
Chee Yong Chan , Wenfei Fan
Chee Yong Chan , Rajeev Rastogi
Chee Yong Chan , Shihui Zheng
Aoying Zhou , Chee Yong Chan
Rajeev Rastogi , Wenfei Fan
Shihui Zheng , Wenfei Fan
Aoying Zhou , Wenfei Fan
Rajeev Rastogi , Shihui Zheng
Aoying Zhou , Rajeev Rastogi
Aoying Zhou , Shihui Zheng
Andr&eacute; Seifert , Marc H. Scholl
Guy M. Lohman , Sam Lightstone
Fabio Casati , Mehmet Sayal
Mehmet Sayal , Umeshwar Dayal
Mehmet Sayal , Ming-Chien Shan
Fabio Casati , Umeshwar Dayal
Fabio Casati , Ming-Chien Shan
Ming-Chien Shan , Umeshwar Dayal
Alfons Kemper , Bernhard Zeller
Koichi Goto , Yahiko Kambayashi
Antonio Amorim , I. Alexandrov
E. Badescu , I. Alexandrov
I. Alexandrov , M. Barczyk
D. Burckhart-Chromek , I. Alexandrov
I. Alexandrov , Mihai Caprini
I. Alexandrov , M. Dobson
I. Alexandrov , J. Flammer
I. Alexandrov , R. Hart
I. Alexandrov , R. Jones
Andrei Kazarov , I. Alexandrov
I. Alexandrov , S. Kolos
I. Alexandrov , V. Kotov
Dietrich Liko , I. Alexandrov
I. Alexandrov , Levi Lucio
I. Alexandrov , L. Mapelli
I. Alexandrov , M. Mineev
I. Alexandrov , L. Moneta
I. Alexandrov , I. Papadopoulos
I. Alexandrov , M. Nassiakou
I. Alexandrov , N. Parrington
I. Alexandrov , Luis Pedro
A. Ribeiro , I. Alexandrov
I. Alexandrov , Yu. Ryabov
D. Schweiger , I. Alexandrov
I. Alexandrov , Igor Soloviev
H. Wolters , I. Alexandrov
Antonio Amorim , E. Badescu
Antonio Amorim , M. Barczyk
Antonio Amorim , D. Burckhart-Chromek
Antonio Amorim , Mihai Caprini
Antonio Amorim , M. Dobson
Antonio Amorim , J. Flammer
Antonio Amorim , R. Hart
Antonio Amorim , R. Jones
Andrei Kazarov , Antonio Amorim
Antonio Amorim , S. Kolos
Antonio Amorim , V. Kotov
Antonio Amorim , Dietrich Liko
Antonio Amorim , Levi Lucio
Antonio Amorim , L. Mapelli
Antonio Amorim , M. Mineev
Antonio Amorim , L. Moneta
Antonio Amorim , I. Papadopoulos
Antonio Amorim , M. Nassiakou
Antonio Amorim , N. Parrington
Antonio Amorim , Luis Pedro
A. Ribeiro , Antonio Amorim
Antonio Amorim , Yu. Ryabov
Antonio Amorim , D. Schweiger
Antonio Amorim , Igor Soloviev
Antonio Amorim , H. Wolters
E. Badescu , M. Barczyk
D. Burckhart-Chromek , E. Badescu
E. Badescu , Mihai Caprini
E. Badescu , M. Dobson
E. Badescu , J. Flammer
E. Badescu , R. Hart
E. Badescu , R. Jones
Andrei Kazarov , E. Badescu
E. Badescu , S. Kolos
E. Badescu , V. Kotov
Dietrich Liko , E. Badescu
E. Badescu , Levi Lucio
E. Badescu , L. Mapelli
E. Badescu , M. Mineev
E. Badescu , L. Moneta
E. Badescu , I. Papadopoulos
E. Badescu , M. Nassiakou
E. Badescu , N. Parrington
E. Badescu , Luis Pedro
A. Ribeiro , E. Badescu
E. Badescu , Yu. Ryabov
D. Schweiger , E. Badescu
E. Badescu , Igor Soloviev
E. Badescu , H. Wolters
D. Burckhart-Chromek , M. Barczyk
M. Barczyk , Mihai Caprini
M. Barczyk , M. Dobson
J. Flammer , M. Barczyk
M. Barczyk , R. Hart
M. Barczyk , R. Jones
Andrei Kazarov , M. Barczyk
M. Barczyk , S. Kolos
M. Barczyk , V. Kotov
Dietrich Liko , M. Barczyk
Levi Lucio , M. Barczyk
L. Mapelli , M. Barczyk
M. Barczyk , M. Mineev
L. Moneta , M. Barczyk
I. Papadopoulos , M. Barczyk
M. Barczyk , M. Nassiakou
M. Barczyk , N. Parrington
Luis Pedro , M. Barczyk
